Name,Genres,Language,Rating,OrderedSet
Becoming Human,"['Drama', 'Fantasy', 'Horror']",English,7.6,"Becoming Human | ['Drama', 'Fantasy', 'Horror'] | English | 7.6"
Becoming Us,"['Drama', 'Family']",English,,"Becoming Us | ['Drama', 'Family'] | English"
Behind Bars: Rookie Year,"['Drama', 'Action', 'Crime']",English,,"Behind Bars: Rookie Year | ['Drama', 'Action', 'Crime'] | English"
Being,['Music'],English,,Being | ['Music'] | English
Being Erica,"['Drama', 'Comedy', 'Fantasy']",English,8,"Being Erica | ['Drama', 'Comedy', 'Fantasy'] | English | 8"
Being Human,"['Drama', 'Comedy', 'Science-Fiction']",English,8.1,"Being Human | ['Drama', 'Comedy', 'Science-Fiction'] | English | 8.1"
Being Human,"['Drama', 'Horror', 'Romance']",English,7.5,"Being Human | ['Drama', 'Horror', 'Romance'] | English | 7.5"
Being Mary Jane,"['Drama', 'Family']",English,7.8,"Being Mary Jane | ['Drama', 'Family'] | English | 7.8"
Believe,"['Drama', 'Action', 'Fantasy']",English,7.4,"Believe | ['Drama', 'Action', 'Fantasy'] | English | 7.4"
Bella and the Bulldogs,"['Comedy', 'Children']",English,7.2,"Bella and the Bulldogs | ['Comedy', 'Children'] | English | 7.2"
Ben 10,"['Action', 'Adventure', 'Science-Fiction']",English,6.9,"Ben 10 | ['Action', 'Adventure', 'Science-Fiction'] | English | 6.9"
Ben 10: Alien Force,"['Action', 'Children']",English,7.8,"Ben 10: Alien Force | ['Action', 'Children'] | English | 7.8"
Ben 10: Omniverse,"['Action', 'Adventure', 'Science-Fiction']",English,7.8,"Ben 10: Omniverse | ['Action', 'Adventure', 'Science-Fiction'] | English | 7.8"
Ben 10: Ultimate Alien,"['Action', 'Adventure', 'Science-Fiction']",English,7.7,"Ben 10: Ultimate Alien | ['Action', 'Adventure', 'Science-Fiction'] | English | 7.7"
Ben and Kate,['Comedy'],English,6.1,Ben and Kate | ['Comedy'] | English | 6.1
